Rk,team,W,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Golden State Warriors*,67,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Los Angeles Clippers*,56,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,San Antonio Spurs*,55,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Atlanta Hawks*,60,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cleveland Cavaliers*,53,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Portland Trail Blazers*,51,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Houston Rockets*,56,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Memphis Grizzlies*,55,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Toronto Raptors*,49,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chicago Bulls*,50,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Dallas Mavericks*,50,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Oklahoma City Thunder,45,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,New Orleans Pelicans*,45,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Washington Wizards*,46,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Milwaukee Bucks*,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Indiana Pacers,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Utah Jazz,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Boston Celtics*,40,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Phoenix Suns,39,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Detroit Pistons,32,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Miami Heat,37,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Brooklyn Nets*,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Charlotte Hornets,33,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Denver Nuggets,30,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sacramento Kings,29,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Orlando Magic,25,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Los Angeles Lakers,21,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Minnesota Timberwolves,16,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Philadelphia 76ers,18,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,New York Knicks,17,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
