Rk,Team,W,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Houston Rockets*,65,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Toronto Raptors*,59,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Golden State Warriors*,58,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Utah Jazz*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Philadelphia 76ers*,52,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Boston Celtics*,55,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Oklahoma City Thunder*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,San Antonio Spurs*,47,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Portland Trail Blazers*,49,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Minnesota Timberwolves*,47,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Denver Nuggets,46,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Indiana Pacers*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,New Orleans Pelicans*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cleveland Cavaliers*,50,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Washington Wizards*,43,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Miami Heat*,44,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Charlotte Hornets,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Los Angeles Clippers,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Detroit Pistons,39,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Milwaukee Bucks*,44,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Los Angeles Lakers,35,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Dallas Mavericks,24,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,New York Knicks,29,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Brooklyn Nets,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Orlando Magic,25,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Atlanta Hawks,24,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Memphis Grizzlies,22,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Chicago Bulls,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sacramento Kings,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Phoenix Suns,21,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
,League Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
