Rk,team,W,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milwaukee Bucks*,60,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Golden State Warriors*,57,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Toronto Raptors*,58,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Utah Jazz*,50,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Houston Rockets*,53,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Boston Celtics*,49,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Portland Trail Blazers*,53,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Denver Nuggets*,54,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Indiana Pacers*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Oklahoma City Thunder*,49,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Philadelphia 76ers*,51,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,San Antonio Spurs*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Los Angeles Clippers*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Orlando Magic*,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Brooklyn Nets*,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Detroit Pistons*,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Miami Heat,39,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sacramento Kings,39,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Charlotte Hornets,39,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,New Orleans Pelicans,33,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Dallas Mavericks,33,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Minnesota Timberwolves,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Los Angeles Lakers,37,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Memphis Grizzlies,33,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Washington Wizards,32,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Atlanta Hawks,29,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Chicago Bulls,22,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,New York Knicks,17,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Phoenix Suns,19,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Cleveland Cavaliers,19,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
,League Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
